shift_date,shift_type,mpo_name,venue,visit_order,visit_start,visit_end,visit_type,start_time,end_time,start_dt,end_dt,duration_minutes,hour,after_midnight
2026-01-01,night,MPO001,Venue001,2,1899-12-31T16:54:00Z,1899-12-31T18:27:00Z,event,16:54:00,18:27:00,2026-01-01T03:54:00Z,2026-01-01T05:27:00Z,93,16,FALSE
2026-01-01,night,MPO002,Venue002,1,1899-12-31T16:02:00Z,1899-12-31T16:21:00Z,event,16:02:00,16:21:00,2026-01-01T03:02:00Z,2026-01-01T03:21:00Z,19,16,FALSE
2026-01-01,night,MPO002,Venue003,3,1899-12-31T17:03:00Z,1899-12-31T17:07:00Z,routine,17:03:00,17:07:00,2026-01-01T04:03:00Z,2026-01-01T04:07:00Z,4,17,FALSE
2026-01-01,night,MPO002,Venue004,4,1899-12-31T17:14:00Z,1899-12-31T17:26:00Z,routine,17:14:00,17:26:00,2026-01-01T04:14:00Z,2026-01-01T04:26:00Z,12,17,FALSE
2026-01-01,night,MPO001,Venue005,5,1899-12-31T18:53:00Z,1899-12-31T19:23:00Z,routine,18:53:00,19:23:00,2026-01-01T05:53:00Z,2026-01-01T06:23:00Z,30,18,FALSE
2026-01-01,night,MPO002,Venue006,6,1899-12-31T17:27:00Z,1899-12-31T18:01:00Z,routine,17:27:00,18:01:00,2026-01-01T04:27:00Z,2026-01-01T05:01:00Z,34,17,FALSE
2026-01-01,night,MPO001,Venue007,7,1899-12-31T19:23:00Z,1899-12-31T19:55:00Z,routine,19:23:00,19:55:00,2026-01-01T06:23:00Z,2026-01-01T06:55:00Z,32,19,FALSE
2026-01-01,night,MPO002,Venue008,10,1899-12-31T18:02:00Z,1899-12-31T18:29:00Z,routine,18:02:00,18:29:00,2026-01-01T05:02:00Z,2026-01-01T05:29:00Z,27,18,FALSE
2026-01-01,night,MPO002,Venue009,8,1899-12-31T18:29:00Z,1899-12-31T18:34:00Z,routine,18:29:00,18:34:00,2026-01-01T05:29:00Z,2026-01-01T05:34:00Z,5,18,FALSE
2026-01-01,night,MPO002,Venue010,9,1899-12-31T18:35:00Z,1899-12-31T18:56:00Z,routine,18:35:00,18:56:00,2026-01-01T05:35:00Z,2026-01-01T05:56:00Z,21,18,FALSE
2026-01-01,night,MPO002,Venue011,11,1899-12-31T18:59:00Z,1899-12-31T19:10:00Z,routine,18:59:00,19:10:00,2026-01-01T05:59:00Z,2026-01-01T06:10:00Z,11,18,FALSE
2026-01-01,night,MPO002,Venue012,12,1899-12-31T19:20:00Z,1899-12-31T19:47:00Z,routine,19:20:00,19:47:00,2026-01-01T06:20:00Z,2026-01-01T06:47:00Z,27,19,FALSE
2026-01-01,night,MPO002,Venue013,5,1899-12-31T19:49:00Z,1899-12-31T19:59:00Z,routine,19:49:00,19:59:00,2026-01-01T06:49:00Z,2026-01-01T06:59:00Z,10,19,FALSE
2026-01-01,night,MPO001,Venue014,6,1899-12-31T19:59:00Z,1899-12-31T20:34:00Z,routine,19:59:00,20:34:00,2026-01-01T06:59:00Z,2026-01-01T07:34:00Z,35,19,FALSE
2026-01-01,night,MPO001,Venue015,7,1899-12-31T20:34:00Z,1899-12-31T20:49:00Z,routine,20:34:00,20:49:00,2026-01-01T07:34:00Z,2026-01-01T07:49:00Z,15,20,FALSE
2026-01-01,night,MPO001,Venue016,13,1899-12-31T20:55:00Z,1899-12-31T21:11:00Z,routine,20:55:00,21:11:00,2026-01-01T07:55:00Z,2026-01-01T08:11:00Z,16,20,FALSE
2026-01-01,night,MPO002,Venue017,9,1899-12-31T20:29:00Z,1899-12-31T20:47:00Z,routine,20:29:00,20:47:00,2026-01-01T07:29:00Z,2026-01-01T07:47:00Z,18,20,FALSE
2026-01-01,night,MPO002,Venue018,19,1899-12-31T20:47:00Z,1899-12-31T21:58:00Z,routine,20:47:00,21:58:00,2026-01-01T07:47:00Z,2026-01-01T08:58:00Z,71,20,FALSE
2026-01-01,night,MPO001,Venue019,18,1899-12-31T22:12:00Z,1899-12-31T22:19:00Z,alarm,22:12:00,22:19:00,2026-01-01T09:12:00Z,2026-01-01T09:19:00Z,7,22,FALSE
2026-01-01,night,MPO001,Venue020,17,1899-12-31T01:20:00Z,1899-12-31T01:28:00Z,routine,01:20:00,01:28:00,2025-12-31T12:20:00Z,2025-12-31T12:28:00Z,8,1,FALSE
2026-01-01,night,MPO002,Venue021,16,1899-12-31T02:12:00Z,1899-12-31T02:34:00Z,routine,02:12:00,02:34:00,2025-12-31T13:12:00Z,2025-12-31T13:34:00Z,22,2,FALSE
2026-01-01,night,MPO001,Venue022,15,1899-12-31T02:34:00Z,1899-12-31T02:37:00Z,routine,02:34:00,02:37:00,2025-12-31T13:34:00Z,2025-12-31T13:37:00Z,3,2,FALSE
2026-01-01,night,MPO001,Venue023,14,1899-12-31T02:37:00Z,1899-12-31T03:04:00Z,routine,02:37:00,03:04:00,2025-12-31T13:37:00Z,2025-12-31T14:04:00Z,27,2,FALSE
2026-01-01,night,MPO001,Venue024,21,1899-12-31T03:30:00Z,1899-12-31T03:49:00Z,routine,03:30:00,03:49:00,2025-12-31T14:30:00Z,2025-12-31T14:49:00Z,19,3,FALSE
2026-01-01,night,MPO002,Venue025,20,1899-12-31T03:51:00Z,1899-12-31T03:59:00Z,routine,03:51:00,03:59:00,2025-12-31T14:51:00Z,2025-12-31T14:59:00Z,8,3,FALSE
2026-01-01,night,MPO002,Venue026,22,1899-12-31T04:14:00Z,1899-12-31T04:20:00Z,routine,04:14:00,04:20:00,2025-12-31T15:14:00Z,2025-12-31T15:20:00Z,6,4,FALSE
2026-01-01,night,MPO001,Venue027,23,1899-12-31T04:21:00Z,1899-12-31T04:30:00Z,routine,04:21:00,04:30:00,2025-12-31T15:21:00Z,2025-12-31T15:30:00Z,9,4,FALSE
2026-01-01,night,MPO001,Venue028,24,1899-12-31T04:44:00Z,1899-12-31T04:54:00Z,routine,04:44:00,04:54:00,2025-12-31T15:44:00Z,2025-12-31T15:54:00Z,10,4,FALSE
2026-01-01,night,MPO002,Venue029,25,1899-12-31T04:54:00Z,1899-12-31T05:03:00Z,routine,04:54:00,05:03:00,2025-12-31T15:54:00Z,2025-12-31T16:03:00Z,9,4,FALSE
2026-01-01,night,MPO002,Venue030,26,1899-12-31T05:24:00Z,1899-12-31T05:39:00Z,routine,05:24:00,05:39:00,2025-12-31T16:24:00Z,2025-12-31T16:39:00Z,15,5,FALSE
2026-01-01,night,MPO002,Venue031,27,1899-12-31T05:41:00Z,1899-12-31T06:07:00Z,routine,05:41:00,06:07:00,2025-12-31T16:41:00Z,2025-12-31T17:07:00Z,26,5,FALSE
2026-01-01,night,MPO002,Venue032,28,1899-12-31T06:19:00Z,1899-12-31T06:30:00Z,routine,06:19:00,06:30:00,2025-12-31T17:19:00Z,2025-12-31T17:30:00Z,11,6,FALSE
2026-01-01,night,MPO002,Venue033,29,1899-12-31T06:31:00Z,1899-12-31T06:46:00Z,routine,06:31:00,06:46:00,2025-12-31T17:31:00Z,2025-12-31T17:46:00Z,15,6,FALSE
2026-01-01,night,MPO001,Venue034,30,1899-12-31T06:54:00Z,1899-12-31T06:57:00Z,routine,06:54:00,06:57:00,2025-12-31T17:54:00Z,2025-12-31T17:57:00Z,3,6,FALSE
2026-01-01,night,MPO001,Venue035,31,1899-12-31T07:54:00Z,1899-12-31T07:57:00Z,routine,07:54:00,07:57:00,2025-12-31T18:54:00Z,2025-12-31T18:57:00Z,3,7,FALSE
2026-01-01,night,MPO002,Venue036,32,1899-12-31T08:54:00Z,1899-12-31T08:57:00Z,final_check,08:54:00,08:57:00,2025-12-31T19:54:00Z,2025-12-31T19:57:00Z,3,8,FALSE
